dress,details
black sui shirtdress,"black satin (100% viscose). sheath. collared neckline. long sleeves. front button closure. 33"" from shoulder to hemline. imported."
alice cutout dress,"orange spandex (95% polyester, 5% elastane). sheath. mock neck. long sleeves. back zipper closure. imported. "
lyla chain detail dress,"red crepe (92%  polyester, 8% spandex).  hourglass. sweetheart neckline. three-quarter sleeves. back zipper closure. 33"" from shoulder to hemline. imported."
bazel sequin blazer dress,"rose gold sequins (95% polyester, 5% spandex) . sheath. v-neck. long sleeves. front button closure. 32.5"" from shoulder to hemline. imported."
metallic tiered gown,"gold chiffon (55% polyester, 45% metallic). a-line gown. v-neck. sleeveless. back zipper closure. 58"" from shoulder to hemline. imported."
tempted by you gown,"black stretch lace (84% nylon, 16% spandex). cap sleeves. v-neckline. 58."
cutout tie neck sheath,"red jersey (95% polyester, 5% spandex). sheath. halter neck. long sleeves. back zipper closure. 45"" from shoulder to hemline. imported."
dancando sequin dress,"blue, black and yellow base (100% viscose). shift. boat neckline. long sleeves. back zipper closure. 43"" from shoulder to hemline. made in the usa."
strawberry floral dress,"pink chiffon (100% chiffon). a-line. v-neck. sleeveless. back zipper closure. 45"" from shoulder to hemline. made in the usa of imported fabric."
billie mini dress,silver and purple sequins (100% polyester). blouson. crew neck. long sleeves. back button closure. imported.
olivia off the shoulder dress,"white satin (100% polyester). sheath. sweetheart neckline. three-quarter sleeves. back button closure. 33"" from shoulder to hemline. imported."
london strapless dress,"black  (80% polyester, 20% nylon). square neckline.  full skirt. strapless.  50"" from shoulder to hemline. imported."
beckett sequin dress,"red sequins (100% polyester).  sheath. scoop neck. sleeveless. back zipper closure. 38"" from shoulder to hemline. imported."
blue sequin one shoulder dress,"blue sequins (100% polyester). sheath. one-shoulder neckline. long sleeve. back zipper closure. 33"" from shoulder to hemline. imported."
ashley lehenga,"silver and navy net with exclusive embroidery detail (100% nylon).  sleeveless. sweetheart neckline. back neck hook closure. fully lined. 57"" from shoulder to hemline.
"
such a tease dress,"black jersey (85% polyester, 15% spandex) . long sleeves. boat neckline. pencil skirt. hidden side zipper. 32"" from shoulder to hem. imported."
